fdc_id,description,Energy (Atwater Specific Factors) (KCAL),Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Fiber, total dietary (G)","Sugars, total including NLEA (G)",Leucine (G),"Fatty acids, total monounsaturated (G)","PUFA 18:2 n-6 c,c (LA) (G)","PUFA 18:3 n-3 c,c,c (ALA) (G)",PUFA 20:5 n-3 (EPA) (G),PUFA 22:6 n-3 (DHA) (G),"Fatty acids, total trans","Sugars, added","Fatty acids, total saturated (G)","Vitamin A, RAE (UG)","Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Vitamin E (alpha-tocopherol) (MG),Vitamin B-6 (MG),"Folate, DFE (UG)",Biotin (UG),"Magnesium, Mg (MG)","Zinc, Zn (MG)","Selenium, Se (UG)","Iron, Fe (MG)","Potassium, K (MG)",Niacin (MG),"Calcium, Ca (MG)","Copper, Cu (MG)","Iodine, I (UG)","Manganese, Mn (MG)","Molybdenum, Mo (UG)","Phosphorus, P (MG)",Thiamin (MG),Riboflavin (MG),Pantothenic acid (MG),Vitamin B-12 (UG),Sodium (mg),Added Sugars (g)
170545,"Tomato juice, canned, without salt added",17,0.85,0.29,3.53,0.4,2.58,0.024,0.005,0.022,0.005,0,0,0,0,0.019,23,70.1,0,0.32,0.07,20,0,11,0.11,0.5,0.39,217,0.673,10,0.042,0,0.068,0,19,0.1,0.078,0,0,10,0
170546,"Tomato products, canned, puree, with salt added",38,1.65,0.21,8.98,1.9,4.83,0.047,0.031,0,0,0,0,0,0,0.029,26,10.6,0,1.97,0.126,11,0,23,0.36,0.7,1.78,439,1.466,18,0.287,0,0.169,0,40,0.025,0.08,0.44,0,202,0
170547,"Turnips, cooked, boiled, drained, with salt",22,0.71,0.08,5.06,2,2.99,0.026,0.005,0,0,0,0,0,0,0.008,0,11.6,0,0.02,0.067,9,0,8,0.2,0.6,0.22,135,0.299,22,0.064,0,0.1,0,19,0.027,0.023,0.142,0,286,0
170548,"Turnips, frozen, cooked, boiled, drained, with salt",21,1.53,0.24,3.73,2,1.73,0.057,0.015,0,0,0,0,0,0,0.025,0,3.9,0,0.02,0.067,8,0,14,0.2,0.6,0.98,182,0.56,32,0.063,0,0.1,0,26,0.035,0.028,0.141,0,272,0
170549,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt",11.428571,0.4,0.2,2.45,1,1.18,0,0.037,0,0,0,0,0,0,0.016,0,10.5,0,0.08,0.032,4,0,10,0.59,0.2,0.38,5,0.384,18,0.022,0,0.056,0,17,0.034,0.001,0.121,0,343,0
170550,"Winged bean, immature seeds, cooked, boiled, drained, with salt",36.904762,5.31,0.66,3.21,0,0,0,0.237,0,0,0,0,0,0,0.101,4,9.8,0,0,0.082,35,0,30,0.28,1.1,1.09,274,0.652,61,0.037,0,0.158,0,25,0.086,0.072,0.041,0,240,0
170551,"Yam, cooked, boiled, drained, or baked, with salt",114,1.49,0.14,26.99,3.9,0.49,0.094,0.005,0,0,0,0,0,0,0.029,6,12.1,0,0.34,0.228,16,0,18,0.2,0.7,0.52,670,0.552,14,0.152,0,0.371,0,49,0.095,0.028,0.311,0,244,0
170552,"Seeds, breadnut tree seeds, raw",216.190476,5.97,0.99,46.28,0,0,0.647,0.126,0,0,0,0,0,0,0.267,12,27.4,0,0,0.403,66,0,68,1.13,0,2.09,1183,0.88,98,1.444,0,0.178,0,67,0.055,0.055,1.103,0,31,0
170553,"Seeds, breadnut tree seeds, dried",365.714286,8.62,1.68,79.39,14.9,0,0.935,0.214,0,0,0,0,0,0,0.454,11,46.6,0,0,0.685,113,0,115,1.91,1.9,4.6,2011,2.1,94,2.455,0,0.303,0,178,0.03,0.14,1.875,0,53,0
170554,"Seeds, chia seeds, dried",484.285714,16.54,30.74,42.12,34.4,0,1.371,2.309,5.835,17.83,0,0,0.14,0,3.33,0,1.6,0,0.5,0,0,0,335,4.58,55.2,7.72,407,8.83,631,0.924,0,2.723,0,860,0.62,0.17,0,0,16,0
